gauci_table_name,consensus_lai_name,full_name
Boreal Forests/Taiga,Boreal Forests/Taiga,Taiga and Boreal Forest
Deserts & Xeric Shrublands,Deserts & Xeric Shrublands,Deserts and Xeric Shrublands
"Mediterranean Forests, Woodlands & Scrub","Mediterranean Forests, Woodlands & Scrub","Mediterranean Forests, Woodlands, and Scrub"
Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf and Mixed Forests
Temperate Conifer Forests,Temperate Conifer Forests,Temperate Coniferous Forests
"Temperate Grasslands, Savannas &Shrublands","Temperate Grasslands, Savannas &Shrublands","Temperate Grasslands, Savannas, and Shrublands"
Trop. & Subtrop. Dry Broadleaf Forests,Trop. & Subtrop. Dry Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests
"Trop. & Subtrop. Grasslands, Savannas &","Trop. & Subtrop. Grasslands, Savannas &","Tropical and Subtropical Grasslands, Savannas, and Shrublands"
Tropical & Subtropical Moist Broadleaf Forests Â«,Tropical & Subtropical Moist Broadleaf Forests,Tropical and Subtropical Moist Broadleaf Forests
